Name,Symbol,Date,Open,High,Low,Close,Adj Close,Volume
INU USD,INU26676-USD,2023-09-20,3.6242444600986805e-09,3.717957719473474e-09,3.6175733519883116e-09,3.6866079078379244e-09,3.6866079078379244e-09,39054
INU USD,INU26676-USD,2023-09-21,3.687127048124239e-09,3.689845540222336e-09,3.5412883736540834e-09,3.565557848972389e-09,3.565557848972389e-09,40373
INU USD,INU26676-USD,2023-09-24,3.6281380122460405e-09,3.677936843970997e-09,3.616727806132758e-09,3.64195562596592e-09,3.64195562596592e-09,40904
INU USD,INU26676-USD,2023-09-25,3.644478274722473e-09,3.938304793393854e-09,3.6267993053229475e-09,3.783882096541902e-09,3.783882096541902e-09,61078
INU USD,INU26676-USD,2023-10-01,3.901390321914278e-09,4.146107013269784e-09,3.901390321914278e-09,4.146107013269784e-09,4.146107013269784e-09,34967
