Name,Symbol,Date,Open,High,Low,Close,Adj Close,Volume
Okiku Kento USD,OKEN-USD,2023-09-21,3.9430826659359035e-11,3.9452868055844797e-11,3.868568312914711e-11,3.8734918050842275e-11,3.8734918050842275e-11,58
Okiku Kento USD,OKEN-USD,2023-09-24,3.8607301383608566e-11,3.8607301383608566e-11,3.860562911017773e-11,3.860562911017773e-11,3.860562911017773e-11,1
Okiku Kento USD,OKEN-USD,2023-09-25,3.860562911017773e-11,3.860562911017773e-11,3.860562911017773e-11,3.860562911017773e-11,3.860562911017773e-11,1
Okiku Kento USD,OKEN-USD,2023-10-01,4.065233566441506e-11,4.1121304278357584e-11,4.065233566441506e-11,4.107723189372692e-11,4.107723189372692e-11,20
