Name,Symbol,Date,Open,High,Low,Close,Adj Close,Volume
Shrek ERC USD,SHREK-USD,2023-09-20,5.79243604192925e-08,5.80841188480008e-08,4.5998323372486993e-08,4.690799215723018e-08,4.690799215723018e-08,2107
Shrek ERC USD,SHREK-USD,2023-09-21,4.6914603757386464e-08,4.6940829889763336e-08,4.283171151087117e-08,4.283171151087117e-08,4.283171151087117e-08,601
Shrek ERC USD,SHREK-USD,2023-09-24,2.950524446987401e-08,2.9541174839664563e-08,2.9480402119475002e-08,2.952988609195017e-08,2.952988609195017e-08,291
Shrek ERC USD,SHREK-USD,2023-09-25,2.952988609195017e-08,2.952988609195017e-08,2.8553467146252842e-08,2.8866459444998327e-08,2.8866459444998327e-08,47
Shrek ERC USD,SHREK-USD,2023-10-01,2.7576074757007518e-08,2.7576074757007518e-08,2.7576074757007518e-08,2.7576074757007518e-08,2.7576074757007518e-08,38
