Name,Symbol,Date,Open,High,Low,Close,Adj Close,Volume
FirmaChain USD,FCT4953-USD,2023-09-14,0.0447744578123092,0.0486261211335659,0.0447744578123092,0.0486261211335659,0.0486261211335659,3642016
FirmaChain USD,FCT4953-USD,2023-09-15,0.0476038567721843,0.0481136180460453,0.0476038567721843,0.0477613098919391,0.0477613098919391,5301833
FirmaChain USD,FCT4953-USD,2023-09-16,0.0531977117061615,0.0539036504924297,0.0515878237783908,0.0521877706050872,0.0521877706050872,24047440
FirmaChain USD,FCT4953-USD,2023-09-17,0.052462164312601,0.0548579394817352,0.0512893535196781,0.05470797047019,0.05470797047019,11390972
FirmaChain USD,FCT4953-USD,2023-09-18,0.0545714572072029,0.0545714572072029,0.0512290224432945,0.0533016882836818,0.0533016882836818,8016853
FirmaChain USD,FCT4953-USD,2023-09-19,0.0531929284334182,0.0537841133773326,0.0522152930498123,0.0537684895098209,0.0537684895098209,3117042
FirmaChain USD,FCT4953-USD,2023-09-20,0.0537789575755596,0.0581255666911602,0.0534100010991096,0.0573520362377166,0.0573520362377166,20924250
FirmaChain USD,FCT4953-USD,2023-09-21,0.0571146048605442,0.0571146048605442,0.0531215369701385,0.053870677947998,0.053870677947998,7513688
FirmaChain USD,FCT4953-USD,2023-09-24,0.0656082034111023,0.0656082034111023,0.0598001480102539,0.0606257133185863,0.0606257133185863,107115560
FirmaChain USD,FCT4953-USD,2023-09-25,0.0579663179814815,0.0579663179814815,0.0531450025737285,0.0572409257292747,0.0572409257292747,21463112
FirmaChain USD,FCT4953-USD,2023-09-26,0.0585864819586277,0.0611756034195423,0.0560790300369262,0.0598065480589866,0.0598065480589866,27641344
FirmaChain USD,FCT4953-USD,2023-09-27,0.0595480129122734,0.0608790852129459,0.0561630874872207,0.057847261428833,0.057847261428833,16377485
FirmaChain USD,FCT4953-USD,2023-09-28,0.0582061521708965,0.0602045208215713,0.058034747838974,0.0599876679480075,0.0599876679480075,10224549
FirmaChain USD,FCT4953-USD,2023-09-29,0.0602120272815227,0.0604700408875942,0.0548855848610401,0.0555495247244834,0.0555495247244834,7819689
FirmaChain USD,FCT4953-USD,2023-09-30,0.0554604940116405,0.0582504272460937,0.0551294237375259,0.0566821284592151,0.0566821284592151,5047778
FirmaChain USD,FCT4953-USD,2023-10-01,0.056695397943258286,0.0573824979364872,0.05593177676200867,0.05727410688996315,0.05727410688996315,4665306
